title\url\rating\genre\languages\type\director\cast\score\boxOffice\releaseDate\votes\duration
White Chicks\https://www.imdb.com/title/tt0381707\PG-13\Comedy,Crime\English\Movie\Keenen Ivory Wayans\Marlon Wayans,Shawn Wayans,Busy Philipps,Maitland Ward,Jaime King,Frankie Faison,Lochlyn Munro,John Heard,Terry Crews,Brittany Daniel,Eddie Velez,Jessica Cauffiel,Anne Dudek,Rochelle Aytes,Jennifer Carpenter,Faune Chambers Watkins,John Reardon,Steven Grayhm\5.7\113100873\June 23, 2004\142K\1h 49m
Justice League\https://www.imdb.com/title/tt0974015\PG-13\Action,Adventure,Fantasy\English,Irish Gaelic,Russian,Icelandic\Movie\Zack Snyder\Ben Affleck,Gal Gadot,Jason Momoa,Ezra Miller,Henry Cavill,Amy Adams,Ray Fisher,Jeremy Irons,Diane Lane,Connie Nielsen,J.K. Simmons,Ciarán Hinds,Amber Heard,Joe Morton,Lisa Loven Kongsli,Ingvar Sigurdsson,David Thewlis,Sergi Constance\6.1\657926987\November 17, 2017\442K\2h
The Angry Birds Movie\https://www.imdb.com/title/tt1985949\PG\Animation,Action,Adventure\English\Movie\Clay Kaytis\Jason Sudeikis,Josh Gad,Danny McBride,Maya Rudolph,Bill Hader,Peter Dinklage,Sean Penn,Keegan-Michael Key,Kate McKinnon,Tony Hale,Hannibal Buress,Ike Barinholtz,Tituss Burgess,Ian Hecox,Anthony Padilla,Jillian Bell,Billy Eichner,Danielle Brooks\6.2\352333929\May 20, 2016\90K\1h 37m
The Iron Giant\https://www.imdb.com/title/tt0129167\PG\Animation,Action,Adventure\English\Movie\Brad Bird\Eli Marienthal,Harry Connick Jr.,Jennifer Aniston,Vin Diesel,James Gammon,Cloris Leachman,Christopher McDonald,John Mahoney,M. Emmet Walsh,Jack Angel,Bob Bergen,Mary Kay Bergman,Michael Bird,Devon Cole Borisoff,Rodger Bumpass,Robert Clotworthy,Jennifer Darling,Zack Eginton\8\23335817\August 6, 1999\188K\1h 26m
Ratchet & Clank\https://www.imdb.com/title/tt2865120\PG\Animation,Action,Adventure\English\Movie\Kevin Munroe\James Arnold Taylor,David Kaye,Jim Ward,Sylvester Stallone,Paul Giamatti,John Goodman,Bella Thorne,Rosario Dawson,Armin Shimerman,Vincent Tong,Andrew Cownden,Lee Tockar,Brian Dobson,Tabitha St. Germain,Brad Swaile,Brian Drummond,Cole Howard,Ian James Corlett\5.5\13385737\April 29, 2016\11K\1h 34m
Scooby-Doo 2: Monsters Unleashed\https://www.imdb.com/title/tt0331632\PG\Adventure,Comedy,Family\English\Movie\Raja Gosnell\Freddie Prinze Jr.,Sarah Michelle Gellar,Matthew Lillard,Linda Cardellini,Seth Green,Peter Boyle,Tim Blake Nelson,Alicia Silverstone,Neil Fanning,Pat O'Brien,Bill Meilen,Zahf Paroo,Chris Gauthier,Peter New,Morgan Brayton,Lisa Ann Beley,Tara Fynn,Joe MacLeod\5.1\181239132\March 26, 2004\56K\1h 33m
Bee Movie\https://www.imdb.com/title/tt0389790\PG\Animation,Adventure,Comedy\English\Movie\Simon J. Smith\Jerry Seinfeld,Renée Zellweger,Matthew Broderick,Patrick Warburton,John Goodman,Chris Rock,Kathy Bates,Barry Levinson,Larry King,Ray Liotta,Sting,Oprah Winfrey,Larry Miller,Megan Mullally,Rip Torn,Michael Richards,Mario Joyner,Jim Cummings\6.1\293514336\November 2, 2007\158K\1h 31m
Hotel Transylvania 2\https://www.imdb.com/title/tt2510894\PG\Animation,Adventure,Comedy\English\Movie\Genndy Tartakovsky\Adam Sandler,Andy Samberg,Selena Gomez,Kevin James,Steve Buscemi,David Spade,Keegan-Michael Key,Asher Blinkoff,Fran Drescher,Molly Shannon,Megan Mullally,Nick Offerman,Dana Carvey,Rob Riggle,Mel Brooks,Jonny Solomon,Chris Kattan,Sadie Sandler\6.6\475186706\September 25, 2015\124K\1h 29m
Kung Fu Panda 3\https://www.imdb.com/title/tt2267968\PG\Animation,Action,Adventure\English\Movie\Alessandro Carloni\Jack Black,Bryan Cranston,Dustin Hoffman,Angelina Jolie,J.K. Simmons,Jackie Chan,Seth Rogen,Lucy Liu,David Cross,Kate Hudson,James Hong,Randall Duk Kim,Steele Gagnon,Liam Knight,Wayne Knight,Barbara Dirickson,Al Roker,Willie Geist\7.1\521170825\January 29, 2016\153K\1h 35m
Spy Kids 3: Game Over\https://www.imdb.com/title/tt0338459\PG\Action,Adventure,Comedy\English\Movie\Robert Rodriguez\Daryl Sabara,Alexa PenaVega,Antonio Banderas,Carla Gugino,Ricardo Montalban,Holland Taylor,Sylvester Stallone,Mike Judge,Salma Hayek,Matt O'Leary,Emily Osment,Ryan Pinkston,Robert Vito,Bobby Edner,Courtney Jines,Cheech Marin,Danny Trejo,Alan Cumming\4.3\197101678\July 25, 2003\60K\1h 24m
Annie\https://www.imdb.com/title/tt1823664\PG\Comedy,Drama,Family\English\Movie\Will Gluck\Quvenzhané Wallis,Cameron Diaz,Jamie Foxx,Rose Byrne,Bobby Cannavale,Adewale Akinnuoye-Agbaje,David Zayas,Zoe Margaret Colletti,Nicolette Pierini,Eden Duncan-Smith,Amanda Troya,Dorian Missick,Tracie Thoms,Mike Birbiglia,Stephanie Kurtzuba,Peter Van Wagner,Ray Iannicelli,Michael J. Fox\5.3\136853506\December 19, 2014\38K\1h 58m
Paddington\https://www.imdb.com/title/tt1109624\PG\Adventure,Comedy,Family\English\Movie\Paul King\Hugh Bonneville,Sally Hawkins,Julie Walters,Jim Broadbent,Tim Downie,Madeleine Worrall,Lottie Steer,Geoffrey Palmer,Theresa Watson,Imelda Staunton,Michael Gambon,Ben Whishaw,Madeleine Harris,Samuel Joslin,Michael Bond,Matt Lucas,Jude Wright,Kayvan Novak\7.2\282377683\January 16, 2015\112K\1h 35m
Minions\https://www.imdb.com/title/tt2293640\PG\Animation,Adventure,Comedy\English,Spanish\Movie\Kyle Balda\Sandra Bullock,Jon Hamm,Michael Keaton,Pierre Coffin,Allison Janney,Steve Coogan,Jennifer Saunders,Geoffrey Rush,Steve Carell,Katy Mixon,Michael Beattie,Hiroyuki Sanada,Dave Rosenbaum,Alex Dowding,Paul Thornley,Ava Acres,Carlos Alazraqui,Lori Alan\6.4\1159444662\July 10, 2015\230K\1h 31m
The Little Prince\https://www.imdb.com/title/tt1754656\PG\Animation,Adventure,Drama\English\Movie\Mark Osborne\Jeff Bridges,Mackenzie Foy,Rachel McAdams,Marion Cotillard,Riley Osborne,James Franco,Bud Cort,Benicio Del Toro,Ricky Gervais,Albert Brooks,Paul Rudd,Paul Giamatti,Jeffy Branion,Jacquie Barnbrook,Marcel Bridges,André Dussollier,Florence Foresti,Vincent Cassel\7.7\97571250\August 5, 2016\61K\1h 48m
Anastasia\https://www.imdb.com/title/tt0118617\G\Animation,Adventure,Drama\English,Russian,French\Movie\Don Bluth\Meg Ryan,John Cusack,Christopher Lloyd,Kelsey Grammer,Hank Azaria,Bernadette Peters,Kirsten Dunst,Angela Lansbury,Rick Jones,Andrea Martin,Glenn Walker Harris Jr.,Debra Mooney,Arthur Malet,Charity James,Liz Callaway,Lacey Chabert,Jim Cummings,Jonathan Dokuchitz\7.1\139804348\November 21, 1997\121K\1h 34m
The BFG\https://www.imdb.com/title/tt3691740\PG\Adventure,Family,Fantasy\English,Hindi\Movie\Steven Spielberg\Mark Rylance,Ruby Barnhill,Penelope Wilton,Jemaine Clement,Rebecca Hall,Rafe Spall,Bill Hader,Ólafur Darri Ólafsson,Adam Godley,Michael Adamthwaite,Daniel Bacon,Jonathan Holmes,Chris Gibbs,Paul Moniz de Sa,Marilyn Norry,Callum Seagram Airlie,Haig Sutherland,Shauna Hansen\6.3\195243411\July 1, 2016\85K\1h 57m
The Prince of Egypt\https://www.imdb.com/title/tt0120794\PG\Animation,Adventure,Drama\English,Hebrew\Movie\Brenda Chapman\Val Kilmer,Ralph Fiennes,Michelle Pfeiffer,Sandra Bullock,Jeff Goldblum,Danny Glover,Patrick Stewart,Helen Mirren,Steve Martin,Martin Short,Bobby Motown,Eden Riegel,Ofra Haza,James Avery,Aria Noelle Curzon,Stephanie Sawyer,Francesca Marie Smith,Shira Roth\7.1\218613188\December 18, 1998\130K\1h 39m
Corpse Bride\https://www.imdb.com/title/tt0121164\PG\Animation,Drama,Family\English\Movie\Tim Burton\Johnny Depp,Helena Bonham Carter,Emily Watson,Tracey Ullman,Paul Whitehouse,Joanna Lumley,Albert Finney,Richard E. Grant,Christopher Lee,Michael Gough,Jane Horrocks,Enn Reitel,Deep Roy,Danny Elfman,Stephen Ballantyne,Lisa Kay\7.3\118133252\September 23, 2005\265K\1h 17m
Joker\https://www.imdb.com/title/tt7286456\R\Crime,Drama,Thriller\English\Movie\Todd Phillips\Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,Brett Cullen,Shea Whigham,Bill Camp,Glenn Fleshler,Leigh Gill,Josh Pais,Rocco Luna,Marc Maron,Sondra James,Murphy Guyer,Douglas Hodge,Dante Pereira-Olson,Carrie Louise Putrello,Sharon Washington\8.4\1074445730\October 4, 2019\1.2M\2h 2m
Star Wars: Episode I - The Phantom Menace\https://www.imdb.com/title/tt0120915\PG\Action,Adventure,Fantasy\English,Sanskrit\Movie\George Lucas\Ewan McGregor,Liam Neeson,Natalie Portman,Jake Lloyd,Ian McDiarmid,Pernilla August,Oliver Ford Davies,Hugh Quarshie,Ahmed Best,Anthony Daniels,Kenny Baker,Frank Oz,Terence Stamp,Brian Blessed,Andy Secombe,Ray Park,Lewis Macleod,Warwick Davis\6.5\1027082707\May 19, 1999\782K\2h 16m
Harry Potter and the Deathly Hallows: Part 2\https://www.imdb.com/title/tt1201607\PG-13\Adventure,Fantasy,Mystery\English,Latin\Movie\David Yates\Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon,Ralph Fiennes,Alan Rickman,Evanna Lynch,Domhnall Gleeson,Clémence Poésy,Warwick Davis,John Hurt,Helena Bonham Carter,Graham Duff,Anthony Allgood,Rusty Goffe,Jon Key,Kelly Macdonald,Jason Isaacs\8.1\1342359942\July 15, 2011\847K\2h 10m
The Closet\https://www.imdb.com/title/tt0243493\R\Comedy\French\Movie\Francis Veber\Daniel Auteuil,Gérard Depardieu,Thierry Lhermitte,Michèle Laroque,Jean Rochefort,Alexandra Vandernoot,Stanislas Forlani,Michel Aumont,Edgar Givry,Thierry René,Armelle Deutsch,Michèle Garcia,Laurent Gamelon,Vincent Moscato,Irina Ninova,Marianne Groves,Philippe Vieux,Luq Hamet\7\50104745\August 10, 2001\17K\1h 24m
Ordinary People\https://www.imdb.com/title/tt0081283\R\Drama\English\Movie\Robert Redford\Donald Sutherland,Mary Tyler Moore,Judd Hirsch,Timothy Hutton,M. Emmet Walsh,Elizabeth McGovern,Dinah Manoff,Fredric Lehne,James Sikking,Basil Hoffman,Quinn K. Redeker,Mariclare Costello,Meg Mundy,Elizabeth Hubbard,Adam Baldwin,Richard Whiting,Scott Doebler,Carl DiTomasso\7.7\54766923\September 19, 1980\52K\2h 4m
Stand by Me\https://www.imdb.com/title/tt0092005\R\Adventure,Drama\English\Movie\Rob Reiner\Wil Wheaton,River Phoenix,Corey Feldman,Jerry O'Connell,Kiefer Sutherland,Casey Siemaszko,Gary Riley,Bradley Gregg,Jason Oliver Lipsett,Marshall Bell,Frances Lee McCain,Bruce Kirby,William Bronder,Scott Beach,Richard Dreyfuss,John Cusack,Madeleine Swift,Popeye\8.1\52287414\August 22, 1986\394K\1h 29m
Wonderstruck\https://www.imdb.com/title/tt5208216\PG\Adventure,Drama,Mystery\English,Spanish\Movie\Todd Haynes\Oakes Fegley,Julianne Moore,Michelle Williams,Millicent Simmonds,Cory Michael Smith,James Urbaniak,Damian Young,Patrick Murney,Lauren Ridloff,Anthony Natale,Carole Addabbo,Howard Seago,Brian Berrebbi,John P. McGinty,Mark A. Keeton,Patrick Wiley,Garrett Zuercher,Jared Johnston\6.2\3285916\October 20, 2017\10K\1h 56m
The Girl on the Train\https://www.imdb.com/title/tt3631112\R\Crime,Drama,Mystery\English,Spanish\Movie\Tate Taylor\Emily Blunt,Haley Bennett,Rebecca Ferguson,Justin Theroux,Luke Evans,Edgar Ramírez,Laura Prepon,Allison Janney,Darren Goldstein,Lisa Kudrow,Cleta Elaine Ellington,Lana Young,Rachel Christopher,Fernando Medina,Gregory Morley,Mac Tavares,John Norris,Nathan Shapiro\6.5\173185859\October 7, 2016\185K\1h 52m
RED\https://www.imdb.com/title/tt1245526\PG-13\Action,Comedy,Crime\English,Russian\Movie\Robert Schwentke\Bruce Willis,Helen Mirren,Morgan Freeman,Mary-Louise Parker,Heidi von Palleske,Jefferson Brown,Karl Urban,Chris Owens,Rebecca Pidgeon,Jaqueline Fleming,Randy Wade Kelley,Jason Giuliano,Alec Rayme,Lawrence Turner,Emily Kuroda,Joe Chrest,Justine Wachsberger,Tara Yelland\7\199006387\October 15, 2010\305K\1h 51m
Burden\https://www.imdb.com/title/tt5314450\R\Biography,Drama,History\English\Movie\Andrew Heckler\Garrett Hedlund,Andrea Riseborough,Forest Whitaker,Tom Wilkinson,Usher,Crystal Fox,Austin Hébert,Dexter Darden,Taylor Gregory,Tia Hendricks,Devin Bright,Joshua Burge,Tess Harper,Anna Colwell,Bryan Hibbard,Jeff Pope,Lindsey Moser,Roman Spink\6.6\450189\\3.5K\1h 57m
Repo Man\https://www.imdb.com/title/tt0087995\R\Action,Comedy,Crime\English,Spanish\Movie\Alex Cox\Harry Dean Stanton,Emilio Estevez,Tracey Walter,Olivia Barash,Sy Richardson,Susan Barnes,Fox Harris,Tom Finnegan,Del Zamora,Eddie Velez,Zander Schloss,Jennifer Balgobin,Dick Rude,Miguel Sandoval,Vonetta McGee,Richard Foronjy,Bruce White,Biff Yeager\6.9\129000\March 2, 1984\37K\1h 32m
Mr. & Mrs. Smith\https://www.imdb.com/title/tt0356910\PG-13\Action,Comedy,Crime\English,Spanish\Movie\Doug Liman\Brad Pitt,Angelina Jolie,Adam Brody,Vince Vaughn,Kerry Washington,Keith David,Chris Weitz,Rachael Huntley,Michelle Monaghan,Stephanie March,Jennifer Morrison,Theresa Barrera,Perrey Reeves,Melanie Tolbert,Jerry T. Adams,Elijah Alexander,Hans F. Alexander,Lauryn Alvarez\6.5\487287646\June 10, 2005\484K\2h
Star Wars: Episode I - The Phantom Menace\https://www.imdb.com/title/tt0120915\PG\Action,Adventure,Fantasy\English,Sanskrit\Movie\George Lucas\Ewan McGregor,Liam Neeson,Natalie Portman,Jake Lloyd,Ian McDiarmid,Pernilla August,Oliver Ford Davies,Hugh Quarshie,Ahmed Best,Anthony Daniels,Kenny Baker,Frank Oz,Terence Stamp,Brian Blessed,Andy Secombe,Ray Park,Lewis Macleod,Warwick Davis\6.5\1027082707\May 19, 1999\782K\2h 16m
The House That Jack Built\https://www.imdb.com/title/tt4003440\R\Crime,Drama,Horror\English,German,Italian\Movie\Lars von Trier\Matt Dillon,Bruno Ganz,Uma Thurman,Siobhan Fallon Hogan,Sofie Gråbøl,Riley Keough,Jeremy Davies,Jack McKenzie,Mathias Hjelm,Ed Speleers,Emil Tholstrup,Marijana Jankovic,Carina Skenhede,Rocco Day,Cohen Day,Robert Jezek,Osy Ikhile,Christian Arnold\6.8\3081913\\73K\2h 32m
Sonic the Hedgehog\https://www.imdb.com/title/tt3794354\PG\Action,Adventure,Comedy\English,French\Movie\Jeff Fowler\Ben Schwartz,James Marsden,Jim Carrey,Tika Sumpter,Natasha Rothwell,Adam Pally,Lee Majdoub,Neal McDonough,Tom Butler,Frank C. Turner,Melody Nosipho Niemann,Shannon Chan-Kent,Brad Kelly,Elfina Luk,Garry Chalk,Michael Hogan,Peter Bryant,Jeremy Arnold\6.5\319715683\February 14, 2020\129K\1h 39m
Touch Me Not\https://www.imdb.com/title/tt4949112\Not Rated\Drama\English,German\Movie\Adina Pintilie\Laura Benson,Tómas Lemarquis,Christian Bayerlein,Grit Uhlemann,Adina Pintilie,Hanna Hofmann,Seani Love,Irmena Chichikova,Rainer Steffen,Georgi Naldzhiev,Dirk Lange,Annett Sawallisch,Jette Blümler,Michael Braun,George Chiper,Matt Claudia,Ater Crudus,Paul Dunca\5.6\75507\\2.7K\2h 3m
The Hunt\https://www.imdb.com/title/tt2106476\R\Drama\Danish,English,Polish\Movie\Thomas Vinterberg\Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,Lasse Fogelstrøm,Susse Wold,Anne Louise Hassing,Lars Ranthe,Alexandra Rapaport,Sebastian Bull Sarning,Steen Ordell Guldbrand Jensen,Daniel Engstrup,Troels Thorsen,Søren Rønholt,Hana Shuan,Jytte Kvinesdal,Josefine Gråbøl,Bjarne Henriksen,Nicolai Dahl Hamilton\8.3\15843274\\320K\1h 55m
Affliction\https://www.imdb.com/title/tt0118564\R\Drama,Mystery,Thriller\English\Movie\Paul Schrader\Nick Nolte,Sissy Spacek,James Coburn,Brigid Tierney,Holmes Osborne,Jim True-Frost,Tim Post,Christopher Heyerdahl,Marian Seldes,Janine Theriault,Mary Beth Hurt,Paul Stewart,Wayne Robson,Sean McCann,Sheena Larkin,Penny Mancuso,Danielle Desormeaux,Charles Edwin Powell\6.9\6330054\February 19, 1999\17K\1h 54m
Marlina the Murderer in Four Acts\https://www.imdb.com/title/tt5923026\Not Rated\Drama,Thriller,Western\Indonesian\Movie\Mouly Surya\Marsha Timothy,Egy Fedly,Tumpal Tampubolon,Yoga Pratama,Haydar Salishz,Yayu A.W. Unru,Norman R. Akyuwen,Ruly Lubis,Satrya Ghozali,Dea Panendra,Ayez Kassar,Rita Matu Mona,Anggun Priambodo,Safira Ahmad,Aryanto Bitu,Ozzol Ramdan,Arawin Pepinte,Sapto Soetarjo\6.9\26331\\3K\1h 33m
Infamous\https://www.imdb.com/title/tt0420609\R\Biography,Crime,Drama\English\Movie\Douglas McGrath\Toby Jones,Daniel Craig,Sandra Bullock,Sigourney Weaver,Gwyneth Paltrow,Isabella Rossellini,Peter Bogdanovich,Rey Arteaga,Jeff Daniels,Justin Sherburn,Andrew Halbreich,Juliet Stevenson,Michael Panes,Hope Davis,Frank G. Curcio,Terri Merritt Bennett,John Benjamin Hickey,Mitch Baker\7\2689799\October 13, 2006\17K\1h 50m
Midnight Family\https://www.imdb.com/title/tt6010976\Unrated\Documentary,Action,Crime\Spanish\Movie\Luke Lorentzen\Juan Ochoa,Fer Ochoa,Josue Ochoa,Manuel Hernandez\7.4\51712\\1.8K\1h 21m
The Elephant Man\https://www.imdb.com/title/tt0080678\PG\Biography,Drama\English,French\Movie\David Lynch\Anthony Hopkins,John Hurt,Anne Bancroft,John Gielgud,Wendy Hiller,Freddie Jones,Michael Elphick,Hannah Gordon,Helen Ryan,John Standing,Dexter Fletcher,Lesley Dunlop,Phoebe Nicholls,Pat Gorman,Claire Davenport,Orla Pederson,Patsy Smart,Frederick Treves\8.2\26023860\October 10, 1980\237K\2h 4m
